port_origin,port_dest,lat_o,lon_o,lat_d,lon_d,gc_distance_km,departure_date,avg_wind_knots,rain_mm,temp_c,max_wave_m,visibility_km,month,season,origin_queue,dest_queue,port_congestion_idx,delay_hours
Tokyo,Balboa,35.6895,139.6917,8.9833,-79.5167,13570.24349460313,2019-11-30,12.474000000000002,0.0,29.2,2.1015368626787927,17.492042025547015,11,SON,4,3,0.5810212260964824,8.4907371692594
Lisboa,San Antonio,38.7223,-9.1393,-33.5983,-71.6123,10299.558470674683,2019-07-12,7.236000000000001,0.4,30.1,0.7714135748771852,16.753425133567927,7,JJA,2,7,1.108580690707607,6.581461079470839
Melbourne,Busan,-37.8136,144.9631,35.1796,129.0756,8280.179023872768,2023-04-20,10.854000000000001,0.7,29.6,1.28,16.579973534107303,4,MAM,6,6,0.47224156184515903,8.536579783114275
Guayaquil,San Antonio,-2.1962,-79.8862,-33.5983,-71.6123,3596.284346014745,2020-03-19,15.714000000000002,0.7,21.6,1.2037002355465007,15.984730574733854,3,MAM,6,4,0.3767727829392317,9.284319785654272
Valencia,Busan,39.4699,-0.3763,35.1796,129.0756,10228.623122338427,2022-10-06,3.024,1.5,-5.8,1.8434253284992916,17.61513076194758,10,SON,3,0,0.2844443211398891,5.257317655522961
Balboa,Singapore,8.9833,-79.5167,1.3521,103.8198,18807.851196266427,2020-12-23,7.884,0.0,33.0,0.8324056343919078,17.232298160700303,12,DJF,5,0,0.7876445721777121,4.81513448940372
Genova,Sídney,44.4056,8.9463,-33.8688,151.2093,16591.541570928515,2022-07-18,6.426000000000001,0.4,29.2,2.0,16.62130510255095,7,JJA,2,2,1.1585592132414453,6.91244141473299
Valparaíso,Callao,-33.0472,-71.6128,-12.0564,-77.1319,2400.748440003602,2021-12-02,12.96,0.1,17.6,2.12,16.772554255961765,12,DJF,5,3,1.1378264549749828,7.182958269504932
Dubai,New York,25.2769,55.2962,40.7128,-74.006,11003.141426006632,2022-02-14,11.772000000000002,0.4,17.3,3.2,19.119176276945172,2,DJF,2,6,0.22161207988033044,9.876775211379526
Le Havre,San Antonio,49.4944,0.1089,-33.5983,-71.6123,11624.376681936274,2022-04-28,14.364000000000003,15.8,27.1,1.58,11.615460939018016,4,MAM,2,0,0.8722400930398118,10.762741964751779
Hong Kong,Tanger Med,22.3193,114.1694,35.8844,-5.5036,10956.756731761481,2024-06-29,9.288,0.0,42.1,1.0294921790582259,20.554163678922198,6,JJA,0,1,0.7548524693914833,4.218108966952067
Buenos Aires,Rotterdam,-34.6037,-58.3816,51.9244,4.4777,11391.27603179727,2020-11-25,17.658,0.0,26.0,2.691668608660413,17.951084968637478,11,SON,5,2,0.7150571292317145,9.749505764741487
Balboa,Melbourne,8.9833,-79.5167,-37.8136,144.9631,14536.455053685831,2021-08-11,14.472000000000001,1.5,23.4,2.782463797328425,17.591989936288126,8,JJA,0,1,0.9486080194569493,8.188523071786285
Lagos,Rio de Janeiro,6.4541,3.3947,-22.9068,-43.1729,6022.383022355337,2020-11-23,14.958,0.0,25.3,2.2756285938552723,18.514507726153937,11,SON,2,5,0.5736577288737101,10.83143776642457
New York,Prince Rupert,40.7128,-74.006,54.315,-130.3208,4357.993808735215,2020-06-11,13.554000000000002,0.0,24.1,0.7823432445464178,17.540175214636815,6,JJA,7,0,0.35328431662449405,8.759091073159414
Dubai,Busan,25.2769,55.2962,35.1796,129.0756,7016.190838813679,2020-03-06,11.34,0.0,-7.2,1.213744447670218,17.993853759935913,3,MAM,7,6,1.1718264260609674,9.350293305862749
Callao,Casablanca,-12.0564,-77.1319,33.5731,-7.5898,8923.832365572624,2019-10-16,16.254,0.7,26.6,2.058614949309572,16.708123675648554,10,SON,1,7,0.7063299316206331,8.59109409874277
San Antonio,Rio de Janeiro,-33.5983,-71.6123,-22.9068,-43.1729,3015.6668729428684,2023-10-28,11.07,53.9,22.7,2.1454363981163436,2.0,10,SON,0,5,0.33105775155731326,13.710516887016722
Guayaquil,Valencia,-2.1962,-79.8862,39.4699,-0.3763,9266.301446382673,2024-09-24,17.064000000000004,0.0,26.0,1.56,17.7313694197434,9,SON,5,4,1.124808429312027,10.153221427392836
New York,Guayaquil,40.7128,-74.006,-2.1962,-79.8862,4808.440407082305,2019-08-21,21.006,0.0,28.9,0.8227810732469991,20.252213533538004,8,JJA,5,3,1.1662319121431817,8.873424328029278
Dubai,Tokyo,25.2769,55.2962,35.6895,139.6917,7926.741378720215,2023-09-16,7.5600000000000005,0.6,30.8,0.5410246031470718,16.975024271918645,9,SON,3,5,1.0294286148827363,4.322172541751276
Rio de Janeiro,Vancouver,-22.9068,-43.1729,49.2827,-123.1207,11226.300007056478,2022-08-20,16.038,0.0,29.3,0.46,17.364672687160713,8,JJA,7,6,0.8031071573387256,8.676208158368711
Rio de Janeiro,Singapore,-22.9068,-43.1729,1.3521,103.8198,15722.118959863385,2021-09-21,20.790000000000003,0.0,25.1,1.0700309947881235,20.204296233985577,9,SON,6,2,0.9460142802434464,12.722707567901832
Casablanca,Long Beach,33.5731,-7.5898,33.7709,-118.1937,9601.626462439086,2022-07-26,17.118000000000002,0.1,28.6,2.06,16.775771505886116,7,JJA,2,1,1.0246641904563414,8.359247458808877
Casablanca,Tanger Med,33.5731,-7.5898,35.8844,-5.5036,319.9777220416952,2020-09-15,12.258000000000001,0.0,22.2,0.8533108089417348,17.680335011989254,9,SON,1,3,0.22114801633644005,6.346537648000119
Durban,Rio de Janeiro,-29.8833,31.05,-22.9068,-43.1729,7308.517685173189,2022-07-19,13.824000000000002,0.0,19.3,3.86,18.422107690079045,7,JJA,4,5,0.5936304568320283,11.373932098835482
Tokyo,Casablanca,35.6895,139.6917,33.5731,-7.5898,11595.77939829351,2019-04-06,15.822000000000001,0.9,22.0,0.9174463420720054,19.52802588297029,4,MAM,6,7,0.44938757583221184,10.285168378439822
Houston,Long Beach,29.7604,-95.3698,33.7709,-118.1937,2198.4999384211455,2021-03-29,9.666,0.0,25.3,1.7046317820505654,18.315299070176565,3,MAM,7,0,1.0334585537885597,8.264928979128413
Shanghai,Rio de Janeiro,31.2304,121.4737,-22.9068,-43.1729,18238.14052275887,2024-05-31,4.32,2.3,35.3,2.753012565349163,17.142960158027492,5,MAM,6,2,0.979477540771329,7.9636046552372965
Busan,Hong Kong,35.1796,129.0756,22.3193,114.1694,2033.9426574885435,2022-03-20,5.562000000000001,1.1,17.7,0.78,14.48000987088244,3,MAM,2,4,1.0575721441225576,5.519454414757722
Singapore,Shanghai,1.3521,103.8198,31.2304,121.4737,3805.740314417279,2019-11-03,27.972,31.6,26.6,1.5991177302546153,3.519366314100634,11,SON,2,1,0.4325699405288737,14.826655097756415
Busan,Cartagena,35.1796,129.0756,10.3932,-75.4832,14327.38884323424,2021-04-11,9.558,0.0,38.5,2.0772096945486744,18.69918629038525,4,MAM,1,2,1.1488579267153405,8.74801364437949
Vancouver,Busan,49.2827,-123.1207,35.1796,129.0756,8241.554364384012,2024-02-03,13.5,0.0,9.0,0.42,17.64411485575835,2,DJF,4,3,1.0043918279470774,7.329961321230098
Valparaíso,Singapore,-33.0472,-71.6128,1.3521,103.8198,16458.614336331888,2023-05-30,10.854000000000001,0.0,25.2,0.9655305641891522,18.084477025475994,5,MAM,4,5,1.060719068325894,9.056329673445171
Lisboa,Rio de Janeiro,38.7223,-9.1393,-22.9068,-43.1729,7715.321839348513,2019-07-05,15.714000000000002,0.0,26.9,2.6526615922114396,17.37806418916047,7,JJA,5,5,1.1588802459090803,12.590987240348728
Guayaquil,Rotterdam,-2.1962,-79.8862,51.9244,4.4777,9814.121835331527,2023-10-09,18.144000000000002,7.9,25.5,1.88,13.380127820742647,10,SON,7,7,0.4533833538391872,11.891900567214973
Lisboa,Hamburgo,38.7223,-9.1393,53.5488,9.9872,2197.2191553746707,2022-05-22,9.936,1.9,27.2,1.8165901822778543,17.32644028787909,5,MAM,1,3,0.7226317755131229,7.532677453296658
Hamburgo,Rotterdam,53.5488,9.9872,51.9244,4.4777,412.42400927512693,2022-08-06,5.778,0.0,20.4,2.6418433420872343,19.771138857664212,8,JJA,6,0,0.3171035659001105,7.587859083137316
Tokyo,San Antonio,35.6895,139.6917,-33.5983,-71.6123,17154.047968517105,2023-01-10,3.564,7.9,29.3,1.2673668441549477,15.16441188713807,1,DJF,6,5,0.9625321470706523,7.228862602512171
Le Havre,Lagos,49.4944,0.1089,6.4541,3.3947,4795.758938152816,2019-12-12,12.690000000000001,0.0,24.9,0.8399017568470408,17.849989163616506,12,DJF,0,7,0.6379040371987532,8.805999612807682
Balboa,Le Havre,8.9833,-79.5167,49.4944,0.1089,8501.100493407732,2023-09-06,10.530000000000001,0.0,26.8,1.58,19.594752708524386,9,SON,7,4,0.5763594734808262,9.64939169298098
Rotterdam,Lagos,51.9244,4.4777,6.4541,3.3947,5057.044891878429,2019-09-17,12.420000000000002,0.0,35.8,2.4562274621388,19.92510523382057,9,SON,7,5,0.3219216783351126,9.830796327373225
Callao,Hamburgo,-12.0564,-77.1319,53.5488,9.9872,10894.755294973122,2023-12-14,17.658,0.0,24.0,1.48,17.04703645196949,12,DJF,3,3,0.6585480817985512,9.240598051006199
Houston,Hamburgo,29.7604,-95.3698,53.5488,9.9872,8314.201200769361,2023-09-08,6.912000000000001,0.0,20.5,1.2,18.065224302468458,9,SON,4,0,1.197034657837573,5.36723302817233
Durban,Hong Kong,-29.8833,31.05,22.3193,114.1694,10601.692852885843,2024-12-29,10.962000000000002,11.1,27.9,3.02,14.472159702451023,12,DJF,0,0,0.8501250155587969,8.811420132672406
Lagos,Singapore,6.4541,3.3947,1.3521,103.8198,11141.835080152434,2020-06-11,11.988,6.8,29.1,0.8289503128832605,14.807510593330512,6,JJA,6,6,0.3982042272128979,9.86393740922663
Buenos Aires,Casablanca,-34.6037,-58.3816,33.5731,-7.5898,9244.585178753412,2019-04-24,14.256,0.0,26.5,1.8936279085897736,15.199660656182035,4,MAM,0,7,0.4385528206273885,7.98756891520915
Hong Kong,Shanghai,22.3193,114.1694,31.2304,121.4737,1227.0304142290192,2024-07-25,14.256,41.8,23.0,2.275849317940075,2.0,7,JJA,6,5,1.037980218655383,16.966436793666936
Singapore,Hamburgo,1.3521,103.8198,53.5488,9.9872,10139.572707908752,2019-12-07,11.178,47.5,14.9,2.189628511450872,2.0,12,DJF,6,0,0.47075875131780026,15.43795708141419
Balboa,Busan,8.9833,-79.5167,35.1796,129.0756,14259.22873314942,2019-04-30,13.23,0.0,35.1,1.9175106308333254,15.802913008982964,4,MAM,0,0,1.0841457113668171,7.648563295195226
Prince Rupert,Valparaíso,54.315,-130.3208,-33.0472,-71.6128,11218.764484248048,2024-11-17,13.716,0.0,24.4,2.34,17.772906790876313,11,SON,1,4,0.9840809483414079,9.044426523870255
Melbourne,Rotterdam,-37.8136,144.9631,51.9244,4.4777,16584.35061819799,2024-09-03,20.520000000000003,0.7,26.4,3.3,19.00066689988638,9,SON,4,2,0.7780172158075422,11.159821296596894
Sídney,San Antonio,-33.8688,151.2093,-33.5983,-71.6123,11283.1382467935,2022-01-18,18.36,0.7,19.5,1.62,20.2123766348645,1,DJF,1,5,0.6741687294826182,9.26437393634822
Sídney,Cartagena,-33.8688,151.2093,10.3932,-75.4832,14605.968746898145,2020-10-29,5.130000000000001,1.4,27.2,1.4841773914671048,17.816689853749065,10,SON,6,4,0.834629117418263,6.680663469671099
Durban,Manzanillo,-29.8833,31.05,19.0514,-104.3158,15370.522673299674,2020-11-25,6.912000000000001,1.3,29.2,0.5829376188379365,18.807192043888758,11,SON,4,2,0.6741326750901704,4.697406354737799
Cartagena,Prince Rupert,10.3932,-75.4832,54.315,-130.3208,6839.970843642611,2023-03-19,10.044000000000002,0.0,9.9,1.990281509062783,17.59288981933918,3,MAM,4,5,0.5162141518240431,9.547244900753505
Manzanillo,San Antonio,19.0514,-104.3158,-33.5983,-71.6123,6804.213377293655,2021-03-01,9.666,0.0,24.7,1.6793002625955438,18.696932514395755,3,MAM,5,6,1.0864028867237077,8.930523669030668
Tokyo,Busan,35.6895,139.6917,35.1796,129.0756,963.0094315706928,2023-10-19,9.558,0.0,25.0,1.2232365910116627,18.734983092660077,10,SON,4,6,0.6941416465174235,8.634521562460257
Durban,Melbourne,-29.8833,31.05,-37.8136,144.9631,9830.33268636719,2020-09-06,34.506,1.9,12.2,1.2684990931535554,15.04231269894185,9,SON,0,3,0.5138933698019892,11.19827803308368
Balboa,San Antonio,8.9833,-79.5167,-33.5983,-71.6123,4808.002338378866,2024-02-20,8.424,0.1,25.4,1.82,17.096623720058254,2,DJF,3,2,0.3536128990606348,5.168263638442451
Valencia,Prince Rupert,39.4699,-0.3763,54.315,-130.3208,8547.300957917723,2024-12-21,6.966000000000001,0.0,-16.5,2.2758412501155467,16.126849976406668,12,DJF,7,3,0.8876650491660925,8.313045726965042
Houston,Tanger Med,29.7604,-95.3698,35.8844,-5.5036,8115.755060767768,2019-01-24,29.430000000000003,3.6,16.1,0.9808326147851554,15.733953261323087,1,DJF,6,4,0.3637513042582959,13.234352871277022
Casablanca,Melbourne,33.5731,-7.5898,-37.8136,144.9631,17501.43130592469,2024-01-13,9.666,0.1,29.2,2.4,19.64458567047987,1,DJF,4,6,0.3415958885687747,8.603862026820643
Vancouver,Sídney,49.2827,-123.1207,-33.8688,151.2093,12501.264664202487,2023-07-13,15.768,0.1,33.9,1.497691762841964,16.83065348489005,7,JJA,3,3,0.3506729738132402,7.797842278552991
Tanger Med,Buenos Aires,35.8844,-5.5036,-34.6037,-58.3816,9563.791112751851,2020-10-01,12.96,0.0,36.0,1.6274543475236487,17.056121069874997,10,SON,1,7,0.6932899758506665,6.854868400383595
Genova,Durban,44.4056,8.9463,-29.8833,31.05,8559.973733700108,2022-10-28,4.968,0.3,31.4,1.9930428153088309,18.12406588874393,10,SON,3,5,0.9629030190395291,6.342715574602905
Busan,Le Havre,35.1796,129.0756,49.4944,0.1089,9342.436551738412,2024-01-25,12.852000000000002,0.0,-3.0,1.609916769750776,17.895486994736988,1,DJF,2,4,1.0520155168811691,7.789377924188382
Busan,Houston,35.1796,129.0756,29.7604,-95.3698,11424.498760579583,2024-02-06,7.128,0.0,13.4,1.2833588298605059,16.933443224122897,2,DJF,4,3,0.7314110410045778,6.5472824622539765
Sídney,Tanger Med,-33.8688,151.2093,35.8844,-5.5036,17884.057417397395,2020-01-24,16.578,0.5,27.4,1.2793679619020915,17.016500626402348,1,DJF,5,2,0.22482313179857255,9.022577003316211
San Antonio,Balboa,-33.5983,-71.6123,8.9833,-79.5167,4808.002338378866,2022-08-04,3.402,3.3,28.9,0.516823249473936,16.90781207140493,8,JJA,3,2,0.9030334656988925,3.4289503328242343
Hong Kong,Lisboa,22.3193,114.1694,38.7223,-9.1393,11023.425239017104,2023-07-27,14.526,0.0,41.2,2.577654105517322,17.647465295817444,7,JJA,3,4,1.1632112235493797,8.769889962318487
Valparaíso,Tokyo,-33.0472,-71.6128,35.6895,139.6917,17139.04173242362,2023-05-24,12.582,9.9,27.8,2.28,14.322538041971915,5,MAM,6,3,0.7531038024112753,12.275363239825822
Melbourne,Rio de Janeiro,-37.8136,144.9631,-22.9068,-43.1729,13209.91228596873,2023-05-27,21.654000000000003,0.0,23.9,3.6,16.017889022184878,5,MAM,2,7,0.5464928613130489,11.463381866876345
Busan,Hamburgo,35.1796,129.0756,53.5488,9.9872,8546.389456443889,2021-12-08,14.634000000000002,0.0,0.9,2.76674238983833,18.618492483480974,12,DJF,6,3,1.1779169790738402,10.094874960465209
Valparaíso,Singapore,-33.0472,-71.6128,1.3521,103.8198,16458.614336331888,2023-10-24,10.854000000000001,0.0,34.0,2.626813834605744,15.97728321913823,10,SON,4,3,0.23697072720117424,9.114402866224928
Prince Rupert,Dubai,54.315,-130.3208,25.2769,55.2962,11148.469172209314,2023-01-19,16.416,0.0,15.6,2.62,17.032081314831153,1,DJF,6,5,0.9737206827516263,10.115431725252874
Dubai,Cartagena,25.2769,55.2962,10.3932,-75.4832,13372.058058745248,2020-05-28,13.23,0.0,23.2,1.9303648787630652,18.322696137214322,5,MAM,0,1,0.20450012493965913,5.930292257289417
Hamburgo,Durban,53.5488,9.9872,-29.8833,31.05,9497.55840058394,2021-05-29,5.562000000000001,0.0,32.8,2.5599602271825024,15.104663602884612,5,MAM,4,5,0.4376583633605973,9.663247333401852
Hong Kong,Lagos,22.3193,114.1694,6.4541,3.3947,11837.85849491939,2022-07-17,24.732,0.0,32.5,2.46,17.77209139077329,7,JJA,2,3,0.47482505075506704,9.871805735993437
Shanghai,Cartagena,31.2304,121.4737,10.3932,-75.4832,15046.11861149294,2021-01-19,15.012000000000002,0.0,25.4,2.150570039575605,18.206352398924473,1,DJF,3,6,1.198743370066765,9.7827222330226
Guayaquil,Hamburgo,-2.1962,-79.8862,53.5488,9.9872,10195.595468998297,2024-12-25,12.798,0.2,19.6,2.86,18.117268843572763,12,DJF,4,6,0.7952128404133718,10.089463112764545
Long Beach,Shanghai,33.7709,-118.1937,31.2304,121.4737,10458.741256703952,2019-10-22,13.392000000000001,0.0,24.5,1.3403704653580069,18.383280316549474,10,SON,0,0,0.40197903768878157,4.905670211489955
Tanger Med,Singapore,35.8844,-5.5036,1.3521,103.8198,11644.952977823577,2021-07-10,29.322,0.0,26.9,2.7061813275425246,17.589190873603343,7,JJA,2,7,0.7408566369449512,13.518213774554253
Cartagena,Busan,10.3932,-75.4832,35.1796,129.0756,14327.38884323424,2020-12-13,6.534,0.0,20.1,2.5908490731727816,18.94181284392976,12,DJF,2,4,0.9423179494179768,7.9485161542855485
Callao,Houston,-12.0564,-77.1319,29.7604,-95.3698,5043.951945072514,2020-12-07,8.262,0.0,28.8,0.8575155973918717,18.504226318469925,12,DJF,1,2,0.4832469332501141,5.471520331811043
Lagos,Genova,6.4541,3.3947,44.4056,8.9463,4254.389292797863,2021-08-18,8.91,0.0,40.3,1.595391809749469,17.477511032467245,8,JJA,7,7,0.8745974769790241,9.037286841663425
Le Havre,Balboa,49.4944,0.1089,8.9833,-79.5167,8501.100493407732,2022-12-01,22.788000000000004,18.2,23.9,2.98,10.425086199984516,12,DJF,0,2,0.7127320643001114,13.47041628850495
Tanger Med,Sídney,35.8844,-5.5036,-33.8688,151.2093,17884.057417397395,2019-08-14,22.194000000000003,0.0,27.9,0.594481914601148,16.901812660984888,8,JJA,0,1,0.26553043391838244,6.951823094467486
Vancouver,Hong Kong,49.2827,-123.1207,22.3193,114.1694,10251.350076317687,2019-09-02,12.96,0.0,28.2,1.3843600693768345,16.90731013929426,9,SON,0,6,0.8981897256099134,8.357331381205352
Valencia,Buenos Aires,39.4699,-0.3763,-34.6037,-58.3816,10162.605337525925,2021-07-01,17.712,13.0,26.5,0.5038196276520412,12.785498419054079,7,JJA,2,0,1.062764563740878,8.15948110472897
Valencia,New York,39.4699,-0.3763,40.7128,-74.006,6069.173119430035,2021-08-03,19.548000000000002,0.0,26.0,2.2953366163111437,19.353622628819164,8,JJA,2,3,0.46034854341525006,7.383117300633167
Tanger Med,Durban,35.8844,-5.5036,-29.8833,31.05,8250.799733503745,2023-02-06,8.532000000000002,2.3,30.6,1.0249816135658674,15.711806897048522,2,DJF,5,2,1.1303846175891505,6.031446358647668
Tokyo,Durban,35.6895,139.6917,-29.8833,31.05,13459.985986708956,2019-04-14,6.318,5.5,28.3,0.8178723547686206,16.733320866901913,4,MAM,1,0,0.20925978182112343,5.3308271344531395
Guayaquil,Casablanca,-2.1962,-79.8862,33.5731,-7.5898,8515.96870901706,2022-09-20,14.850000000000001,0.0,26.6,2.32,16.775252376583996,9,SON,3,1,0.7692120504306768,6.666231221191244
Callao,Valencia,-12.0564,-77.1319,39.4699,-0.3763,9751.469245140093,2022-09-18,17.388,0.0,26.6,2.36,16.928243254098163,9,SON,6,3,0.9729373881352841,10.749926855145059
Balboa,Long Beach,8.9833,-79.5167,33.7709,-118.1937,4814.560177473367,2021-09-22,16.146,5.8,25.5,1.8878762449666393,14.574979522629047,9,SON,7,7,0.5615360786391994,12.79425422476381
Dubai,Hamburgo,25.2769,55.2962,53.5488,9.9872,4874.591302698622,2020-04-19,14.688,0.0,15.9,1.4522600157152437,18.408949689602526,4,MAM,4,5,0.2781083930803639,7.025581502981022
Cartagena,Houston,10.3932,-75.4832,29.7604,-95.3698,2981.3113967927757,2019-12-29,16.632,0.0,26.4,2.167921637956998,19.631064720354736,12,DJF,6,5,0.9385803864573827,11.206790349262285
Lisboa,Guayaquil,38.7223,-9.1393,-2.1962,-79.8862,8508.678939155403,2019-11-11,15.822000000000001,11.3,26.9,2.0941194819383133,11.916817459798644,11,SON,1,0,0.7072927015820434,8.873479330088756
Tanger Med,Balboa,35.8844,-5.5036,8.9833,-79.5167,7986.49670418893,2024-12-15,16.578,0.6,25.8,2.0,18.0585447717613,12,DJF,4,4,0.32690997551851314,9.64317286463938
Le Havre,Cartagena,49.4944,0.1089,10.3932,-75.4832,8092.1607285595555,2020-08-21,14.904000000000002,0.3,27.8,0.6161953016556119,18.34951759191988,8,JJA,4,3,0.494755193202763,5.747292911631834
Manzanillo,Genova,19.0514,-104.3158,44.4056,8.9463,10251.528564531427,2022-07-29,10.908,0.0,26.0,1.0,18.04669584828175,7,JJA,1,1,1.0738884979038015,4.99535334587794
Balboa,Le Havre,8.9833,-79.5167,49.4944,0.1089,8501.100493407732,2023-01-24,29.754,14.8,19.6,4.52,11.921325612162592,1,DJF,3,4,0.7669377953193868,15.545489908564791
Guayaquil,Tokyo,-2.1962,-79.8862,35.6895,139.6917,14497.97738962178,2022-02-01,10.530000000000001,0.0,31.4,0.5286807192647904,17.395250710307266,2,DJF,0,6,0.7202300670459938,5.639775208377953
Busan,Casablanca,35.1796,129.0756,33.5731,-7.5898,11139.40361209663,2023-02-04,6.858,0.0,5.2,0.8435605596467468,19.725332327899753,2,DJF,3,2,0.3784417618218309,4.140562043896804
Vancouver,Tanger Med,49.2827,-123.1207,35.8844,-5.5036,8729.457713865759,2023-05-27,20.682,23.7,14.1,2.74,8.378866973489854,5,MAM,5,7,0.5790526950373052,16.60370881119902
Singapore,Busan,1.3521,103.8198,35.1796,129.0756,4579.341448345455,2022-06-02,12.798,4.0,29.4,1.26,15.496529699325654,6,JJA,6,3,1.10397329087804,8.231399263905393
Hamburgo,Rio de Janeiro,53.5488,9.9872,-22.9068,-43.1729,9911.617714645714,2020-03-23,14.688,0.0,26.9,2.2102808397475995,18.04269177238155,3,MAM,3,0,1.1792246337072796,10.054419456975065
Casablanca,Melbourne,33.5731,-7.5898,-37.8136,144.9631,17501.43130592469,2020-11-30,11.286,1.4,27.8,1.9001045964659673,18.60279744433103,11,SON,3,4,0.6091399776247972,7.9192242768985635
Hamburgo,Genova,53.5488,9.9872,44.4056,8.9463,1019.4818890337492,2020-03-07,9.558,1.2,4.8,1.3675737606309089,17.92389975192652,3,MAM,2,3,0.33110869302621987,6.989788127263023
Vancouver,Buenos Aires,49.2827,-123.1207,-34.6037,-58.3816,11298.850244873249,2020-06-17,10.746,0.0,20.3,0.7275263617410913,17.167792602513263,6,JJA,7,3,1.0810360519178701,8.75362436605095
Melbourne,Busan,-37.8136,144.9631,35.1796,129.0756,8280.179023872768,2022-02-17,13.824000000000002,37.5,27.7,2.7,3.3346371415766867,2,DJF,0,3,0.45943983985453424,11.72107896229645
Sídney,Valparaíso,-33.8688,151.2093,-33.0472,-71.6128,11333.189136423813,2021-12-21,17.766000000000002,0.0,18.5,3.24,17.734839218656376,12,DJF,5,7,0.4524362905495873,12.25593984622764
Rio de Janeiro,Houston,-22.9068,-43.1729,29.7604,-95.3698,8086.776933313631,2024-05-29,4.86,14.8,30.2,2.764507798976734,10.76801137053514,5,MAM,4,7,1.1529991327679814,11.170999379116669
Houston,Tanger Med,29.7604,-95.3698,35.8844,-5.5036,8115.755060767768,2019-08-01,3.564,0.2,25.8,2.4453330029449276,17.42993364729433,8,JJA,4,5,0.7423644023022049,7.722561197339304
Rotterdam,Lisboa,51.9244,4.4777,38.7223,-9.1393,1807.0005898769225,2024-02-10,37.800000000000004,14.2,12.7,2.66,12.894650646224553,2,DJF,2,4,0.9351294275196333,14.79167911520968
Cartagena,Dubai,10.3932,-75.4832,25.2769,55.2962,13372.058058745248,2023-08-20,11.88,0.0,40.3,0.9756711132822729,17.729482260926282,8,JJA,6,4,0.3206553374436864,6.737398659570186
Cartagena,Tanger Med,10.3932,-75.4832,35.8844,-5.5036,7534.00803515972,2024-01-29,6.156000000000001,0.0,22.8,2.64,18.66669850638015,1,DJF,4,1,0.6135679313099698,6.541614661966226
Tokyo,Lagos,35.6895,139.6917,6.4541,3.3947,13475.572631010744,2024-03-31,7.236000000000001,0.0,26.4,0.66,19.636114454502838,3,MAM,6,5,0.7308503942878144,5.306089288884241
Houston,Vancouver,29.7604,-95.3698,49.2827,-123.1207,3188.2320617291844,2024-08-21,14.742,0.0,34.5,2.542374305792834,20.25860985624486,8,JJA,0,6,0.7176615212877291,9.137727061370349
